,mean,std,cell_line
0,0.72269094,9.521942,PC-3
1,0.9888676,14.179065,PC-3
2,0.96464247,12.451147,PC-3
3,1.1291543,12.312331,PC-3
4,1.6529043,14.106656,PC-3
5,2.5261505,20.191244,PC-3
6,3.6768496,21.363436,PC-3
7,7.916663,35.26185,PC-3
8,11.658278,39.63655,PC-3
9,84.43765,88.31565,PC-3
10,98.393936,93.805954,PC-3
11,4.714452,15.155884,PC-3
12,3.0790286,12.167495,PC-3
13,1.9144123,9.352489,PC-3
14,1.18412,5.582129,PC-3
15,1.0312847,6.3567033,PC-3
16,0.83470345,5.5238705,PC-3
17,0.71448505,4.530929,PC-3
18,0.69628084,5.9506016,PC-3
19,0.568366,3.5129254,PC-3
0,2.4793944,21.635843,GM12878
1,2.9109,23.075842,GM12878
2,3.1642716,22.801208,GM12878
3,4.0146723,25.169294,GM12878
4,5.9617805,33.382133,GM12878
5,8.757171,41.186874,GM12878
6,13.484625,50.345997,GM12878
7,26.200975,76.10106,GM12878
8,40.911118,85.434296,GM12878
9,228.4184,144.17278,GM12878
10,247.63057,150.35811,GM12878
11,19.200874,44.569942,GM12878
12,13.037453,36.119053,GM12878
13,8.561831,26.238895,GM12878
14,5.825217,18.498169,GM12878
15,4.662521,15.30145,GM12878
16,3.977136,15.227643,GM12878
17,3.3208704,13.06989,GM12878
18,3.0266585,13.697496,GM12878
19,2.5447764,11.497672,GM12878
0,1.2138151,15.303247,K562
1,1.580998,19.461475,K562
2,1.5357116,16.937891,K562
3,1.988067,18.777342,K562
4,3.2100215,25.15291,K562
5,4.5072947,30.886627,K562
6,6.6116276,33.771355,K562
7,14.740425,55.850258,K562
8,22.264706,63.208126,K562
9,138.85596,124.659225,K562
10,157.70728,131.87788,K562
11,8.326808,26.357819,K562
12,5.503023,21.176647,K562
13,3.4478009,14.962949,K562
14,2.1180944,9.479906,K562
15,1.7182418,8.90951,K562
16,1.4208529,8.3571205,K562
17,1.1971444,8.742198,K562
18,1.050309,8.846698,K562
19,0.851088,5.323915,K562
